rating,reviews
4,bought this for mom who is into wired earphones but gets irritated by the tangling wires the sound is not at the level of bose airpods or sony but if you have to choose between boat leaf tagg and other vfm brands then these wireless earphones are overkill for the price used these for zoom calls on my laptop as well and there were hardly any drops microphone worked flawlessly and sound was also clear bass is but ears start paining after hours of continuous usage so one has to keep that in mind overall verdict the best vfm in the sub k price range for wireless earphones bass comfort treble battery connectivity
3,after seeing all the good reviews i purchased this built quality for first look this can be changed after long use sound quality no woww factor in listening any high bass movies or instrumental songs battery it takes hour mins to charge full to give u hrs of usage time red light turn to white to indicate full charge min charge to hours is just a gimik mic better than previous version nothing like crystal clear confirt holds good and light
5,here is my review after days usage of oneplus bullets wireless z bass edition spend some minutes to know every truth of these neckband earphones design and build quality completely made of premium looking plastic earbuds are made with glossy shiny plastic and due to usage of plastic you are very far away from the danger of getting accidental shock in case of defective electronics neckband is very smooth and overall the complete earphones are very light in weight earbuds fit in the ear perfectly you can have a closer look at every part of these neckband earphones in the pics i have uploaded battery backup i was slightly disappointed here the mentioned music playtime on the box was hours at normal volume usage i noted the time when i used them and found real life music play time i got a total of hours and minutes of music play time at low volume which is very less when you are using them at very low volume but you can listen to music for about hours at volume the battery went down from to in hours minutes the battery gets fully charged in less than minutes with my watt fast charger the best thing is the battery gets about charged in just minutes if you use earphones about two hours daily then you need to charge them only on sundays sound quality no words for the sound quality just amazing its name bass edition fully justifies highs mids and lows of the music are very clear vocals are also crisp and clear bass is too good and balanced one no connectivity issues while i walked in my whole house listening to music and the phone was in one corner of a room oneplus have done cost cutting also the wire length should be to cm more is it value for money of course i can say yes it is value for money headphones you will like them definitely agar bhai ya behen aap indian ho toh bahut jyada bass ke chakkar mei or rupees bachane ke chakkar mei boat rockers taraf mat jana aapka sar dard karne lag jayega unko sunkar because the bass is too high and unbalanced and the human voice voice of singer is very much suppressed due to bass and boult walo ne bass ke naam par majak kiya hua hai i am saying this coz i have used almost to latest neckband earphones of my friends and my own realme buds wireless pro are also very nice neckband headphones but remember they cost rupees but inke jaisi sound quality or high balanced bass apko kahi nahi milega wo bhi rupees dekar i hesitated for month to buy these earphones but i am very glad after buying these earphones at last so i suggest you not to hesitate and go for it if your budget is rupees don t look for any other neckband earphones in this price range if you will try to save some rupees then you are prone to fall for a low quality sound experience
4,cons few features that are not openly mentioned normal z version has a quick switch button but the z bass does not have this button auto pause is enabled when the ear pieces are joined together magnetically off however auto play is not enabled when they are separated on right and left earpiece is not mentioned so you have to try on your own for best fit though few forums suggest the right side has volume controls these cons make you doubt the marketing intention of oneplus pros good build fast charging light weight wires are good soft and flexible on skin overall good sound quality looks good etc gives a feeling that you got good product giving device product overall go for it but choose wisely between z and z bass edition
2,delivered on thfeb writing review on feb only hype about bass i wonder how worse wud be the non bass version i m using it with samsung m music is worse than the wired earphones of samsung i bought only because of avilability of oneplus service stations samsung u is around yrs old and with micro usb boat and others have horror stories as ther is no proper service buying sony at this price range is not reliable so these are the only quality headphones at this price available in the market
4,honest review after using days very much satisfied finally never settle build quality battery backup hrs max but still very happy sound clarity fast charging wrap but note that minimum w adapter is required if you have w then charge min enjoy for hrs upto mic quality is not good but okay noise cancellation hmm connectivity watching movies audio and video sync is perfect there is no delay for gaming we can notice very slight difference but ignorable bass quality not much improvedover all rating never settleoverall best when compared to others at this price very much satisfied
1,oneplus has become a big brand and the earphones that i received feels great in hand and the sound quality was good too biggest issue is connecting and disconnecting with my oneplus phone first time pairing took a lot of time then everytime it should auto connect it was not connecting automatically i had to manually connect in bt option after days of purchase it stopped pairing itself returning it now i was hoping with the brand value there is thorough qc that would have happened but seems not
5,review from an audio enthusiast used sennheisers akg s audio technica s for long time purchased the bass edition really great pair of earphones you can buy under k right now bass edition only they really have improved the sound from their last generation earphones bass has really improved quality wise it s improved loudness remains the same great response from hz hz mids and treble has also improved less muddy mids now more crisp and sharp in a good way trebles now you can hear other instruments too so its balanced not just boommyyy or anything with the bass use equalizer and turn up the low frequencies up you will be amazed by the bass response go ahead buy the bass edition only you wont get any good under k cheers
2,the product was delivered the same day i purchased yaay amazon prime but the earphone failed to impress me due to low vol in its right ear i usually listen music at volumes so as soon i listened through these earphone i could tell there is some mismatch between volumes in the ears so i listened again at low volume but could not hear anything from right but the left worked fine i have opted for a replacement due to the right ear issue although i wanted to return it but no option for it will update whether the problem still exists in the replaced earphone i get or not update received the replaced earphones they still have the issue i m keeping it because of no return policy however the sound quality is good but bass is low but okay
2,used it for months after that it began disconnecting it says year warranty but doesn t show how to claim one plus website claims that warranty for products bought on their website will be given but not for those bought from elsewhere
4,sound quality is good but the only difference is with absence of quick switch which is present in oneplus bullets v as well as oneplus wireless z earphones product description is misleading both at amazon as well as oneplus official website regarding the quick switch
2,great physical build quality the buttons on the device feel great the cables are a non tangling type premium rubberized feel overall packaging and unboxing is gteat as well the biggest problem is with the sound there s a crackling noise that starts on both sides occasionally its especially annoying and noticeable when you watch a movie the dialogues cause a heavy crackle sound that pierce your eardrums very painfully crackling sound also noticed when using the volume keys on the device the crackling increases and decreases with the volume level its a problem a lot of users are facing and oneplus has gone silent in the support forum the range is amazing i can easily walk out of the house and it works through doors walls easily call volume is extremely high so you can easily hear the other person the mic even though it s placed on the neck band is very efficient my voice is crystal clear on the other end even when i m traveling by a motorcycle i do have to talk at a slightly louder voice than normal due to the face mask and helmet but its not an inconvenience bass is poor they have really tried to deliver good punchy bass but its very rounded even after tweaking my equalizer very unsatisfactory however they do manage to isolate sound to an extent ive seen better but these aren t too bad if its noises at home it can easily handle it but traffic noises not so much charge backup is incredible and recharge rate even without a warp charger is amazing with the type c the in ear part is quite bulky so if you are planning on wearing it under a helmet or anything that hugs your ears its going to take a lot of getting used to they do stay snug in your ear tho does not stay very well if you are running or even bending down they tend to pop out and ive owned sony sennheiser jbl and a few tws earphones and they all managed to stay in without falling out this one does fall out when disturbed even slightly for the price point tho they are great giving it an overall edit after months absolute garbage the crackling sound has subsided somewhere along the month mark but the earphone and my one plus nord out of the blue one fine day that i wake up decided not to use the microphone on the headset anymore there is no solution online but multiple complaints about the same the earphone still works just not with the phone i can hear everything but there is zero output volume from my mic and instead the phone is using its own mic and there seems to be no way to fix it absolute garbage do not purchase edit big flaw in magnetic on off cable damages slightly n it thinks it s always off does not switch on edit months of use got a brand new earphone on warranty and i am pleased by this last ray of hope for buyers the new one seems to have fixed most issues but will update magnet power switch is still a huge design flaw also device can t be used while charging warp charge does not charge the earphones at warp speed just like a a charger
4,i was hung bcz i had to choose between oneplus bass edition oppo enco m received the product and first song i played was end of time by alan walker believe me guys you get such a crystal clear vocals and bass is beast i remember the song by just listening it times such is a clear voice i did call to my friend he said as if i am talking via mobile phone he didn t find any difference until i told him if you plug it in your ears and remove after hours you feel like there was nothing in ears such is a compatibility go for it guys oneplus claims that it has quick switching but i am not able to find it yet i will update after week stay safe no latency for free fire cod on my ipad pubg not available
4,i am okay with the product though they mentioned year warrenty i didnt get any warrenty card or something relating the warrenty along with the package so if i dont get any solution for this am planing to return it
5,after experiencing many wired ear phones i have not enjoyed true music with many ear buds and neck bands with my experience i felt that one can only enjoy full quality music with wired ear phones only but i was proven wrong after experience this amazing one plus bullets wireless z bass edition neck band truly amazing a high quality neck band with great bass and treble which is a great combination very tough to get a studio experience please find my personal ratings in the ratio of to volume out of my experience with many other ear buds neck bands brands one can listen to a great music at low volumes at and even at low which is worth noting clarity of the voice quite good quality of the sound quite amazing noise cancellation pretty good bass pretty amazing treble quite amazing sound sharing stereo quite amazing call quality indoor calling is good if your neck back is close to your mouth connectivity pretty good wireless radius you can clearly listen up to meter s without loss of sound comfort ear buds comfortable charging time less than one hour for the full charge with type c cable what more we require for listening to non stop music for more than hours quality of neck band pretty amazing quality of type c cable and neck band wires wow looks pretty good value for money pretty good rs
1,dissappointed with the product as well as the marketing there are two versions of this earphone but are advertised together that being the problem with improper marketing as for the product itself unless you have a one plus device do not buy frequent disconnections and a notorious connected chime everytime you pause a media more specifically if you have connected the earphone with a device you better play something all the time because if you don t the constant chiming will drive you insane
2,used this for my iphone and no bass at all it doesn t sit very comfortably for me more so because i m uncomfortable with the plugs which go a little into the ear still i thought i d give it a try and i m very disappointed no issues with packaging though also it s very difficult to figure out if it s an original piece based on the very mixed reviews here i returned the item and the refund is initiated have placed an order for another brand s ear plugs
1,bad product one side of the earphone stopped working after months of use not worth the money better to buy any middle class brands like boat etc which goes without any problem for months and priced at one fourth this earphone one can have such earphones to show off at this amount with the almost same audio quality and better product life stay away from this product
4,for r i wasn t expecting much from these i recently bought the t which i m still reviewing but one of its shortcomings is the bt connection i have jabra elite actives t and anker curves both of these give me great coverage on the pocof and galaxy note but for some reason the t only gives half coverage so i figured let me try a set of their own ear buds and there is an improvement in the distance covered also i only gave stars because compared to the bass thump thump of my anker soundcore curves these are a bit lacking and for all the hype that surrounds the jabra t well their not as thumpy as the ankers but the oneplus buds have a couple of features that help it to stand out magnetic pause loud volume neckband is soft and can t lose it when you take one of them out coupled with the on board dac of the soc these sound better than the price of r type c charging reduces cable clutter one negative about this set which is weird is that there s no aptx only aac or sbc
3,unlike the normal oneplus bullets wireless z the reverb edition doesnt have the quick switch feature which helps you switch between recently connected devices with ease also battery life is slightly lower at hrs to the hrs provided by the normal one so future buyers beware
2,there is no issue with sound quality or battery they are amazing but in bass edition there is no multiple connectivity or switch over device technology so if you are using devices mobile tab laptop and planning to buy bass edition then it will give you a big headache everytime you have to manually switch over by disconnecting one device and then connect another one this is even more frustrating when your earphones are connected with tab laptop and you get a call on cellphone so if you re going to use it with a single device then bass edition is perfect for you otherwise choose normal one you won t even notice bass difference
1,i bought these as i was previously a bullet wireless use and had two sets bought over period of time i fell so much in love with the produc that we shipped to all our team members as gift during lockdown going by the same impression i bought bass edition as it had all the same features listed on its official website it s only after receiving the product i realized that oneplus went the chinese way and did false advertising it does not have quick switch feature and u can simply disconnect from current device and then connect to second device the experience does not change even if you are using oneplus phone as they claim disheartened by the deceptive advertising horrible experience and now it s time to say goodbye to oneplus as a brand no wonder all youtubers who used to go gaga over oneplus have been bashing recently dave d mkbhd unbox therapy mrwhosthe boss
5,first of all thanks to amazon for faster delivery oneplus z wireless earphone reverb red after using th day without charging previously my experience awesome sound perfect bass no latency premium feel good battery backup now gaming experience pubg cod among us freefire etc perfectly balanced footsteps sound also without latency music just love itbut about noise cancellation i deduct one star but oneplus did a good job after normal edition bit costly rs
1,see as this product is chinese it maintains their s legacy after using this product from to months i suffered from headache dizziness and a little blindness i was confused at start what the hell is getting wrong with my eye sight later i noticed past actions and change i believe uncontrollable radio frequences is the issue of this product which causes damage to the brain and nervous system so after quiting this product i m feeling very well and using the old style wired hansfree i m sharing this to aware you rest is your choice and health and money thanks
1,i bought these in january and got issues with sound in june even after playing audio on full volume i m not able to hear anything properly sound is very low oneplus doesn t provide any warranty on most of the indian cities for earphones they ask customers to visit service centers which they have very less in number better to go for sennheiser sony boat or any other brand who provide warranty and after sales service complete waste of money
1,the device stopped working with in days of buying well this is normal could happen to any chinese electronic device problem is the customer care passed on in complete information they did not convey the message that each service center is accepting request only every day and there is no home pick up of faulty devices i saw about people standing a queue in tdi mall rajouri and they had to go back home because they could not get the tocken i would say poor experience in dealing with service and customer care
3,i am using this neck band about past days and writing my review i used this earphone with bike travel pubg alone in room noisy crowded places and in office i am writing this review from my own perspective medium level of volume is enough for me through the day for call and music and it have charge upto one and half day good audio quality decent bass good battery backup quality material ergonomics mic gaming everything in this product is fine until online call comes it have two mic on the headphone i don t know which one is pickup the noise in online call when we use this headphone for online calls the mic works absolutely terrible for me it is very responsive and pickup the tiny noise very far from the mic and not picking up my voice i tried with wtsapp duo skype and zoom call it is frustrating for me all the times i checked with one of my colleague s earphone it do have the same issue as mine noise cancellation during bike drive works is still not up to satisfying it work sometimes and most of the time the opponent hear only wind noise i tried to block the wind by placing the neckband below my shirt s collar still wind noise is there apart from that the mic works decent in normal calls during pubg i don t feel any latency issue with this and also no audio or mic issue
1,purchasd on november the product is malfunctioning big time sound coming too low left side went first now right side i had purchased one more of this bass edition from other site and it has similar problems my re jbl earphones lasted for years and had better quality audio bass than this so called bass edition i only purchased this cuz of brand and wireless capabilities and it turned out like this poor quality produc
5,the media could not be loaded right from unboxing everything with this product is top notch the material quality the sound quality the lows mids and heighs just amazing for the price its offered at there is no noise cancellation but the isolation is sufficient enough to block the external sounds and blocks them from interfering with the music
5,overall it s good but the shiny protion has too many scratchs talking about the sound quality it s good for a heavy bass user it seems to be balanced bass but for me it has bass more than enough if more bass boosted then the background instrumental music will be depressed it s vocals sounds clear and avg crisp but the feeling from inside remain inside only at medium volume from my experience i noticed that increasing the volume increases the bass and crispness overall it s best budget neckband in i have tested realme wirless in which driver mm are only and only number the bass the treble are less than avg offers a very very good battery life the last conclusion is that invest of for damaging your own ears is not a better deal
1,i received package but in box i got a broken data cable amazon again defaulter with its service after got my refund i purchased it from local shop i impressed with its design and flexibility around the neck sound also great but with in days left side part stopped working and this time i surprised because i m the person who cares alot of my products one plus service center changed it and provide me a new earphone if you are thinking to purchase it no doubt it s a great product it s produced a balance sound that s all
5,if u want good sound quality and bass quality in a budget earphones look no further the battery life on these is phenomenal and charging times are honestly negligible for the amount u use them the mic not he headphones also works really well it does capture the background noise a little as well but overall the person can hear you clearly without any issues it does have noise isolation but no in built noise cancellation technology but u won t honestly need it the volume at maximum is very loud and you won t be able to hear at that volume most of the times totally recommended for casual music listening and attending phone calls
1,a very poor product just after a month stopped working on one side with no physical damage service people say that this is a very common issue along with mic not working properly selling poor product for a premium price is just unacceptable
2,overall a good earphone but not a good sounding headphone if you re looking for anything that sounds good has natural lows warm and and deep mids sparkling and clear highs go for anything but not this soundstage wise they re horrible bass is artificial there is absolutely no imaging the depth in the audio sounds like a bit audio played on walkman highs are absolutely absent this is just very very bad sounding headphone but if you don t care about audio quality in the music and like anything that has good battery charges superfast sleek and well built produces stupid bass for idk what reason then you might like it i don t like it and i won t recommend it tested on bit khz flac alac files
2,it lasted for a month yeah you read that right one night as music was playing the music stopped coming to the left side pretty sure it s a loose connection but still k for this is worth it if you consider what you get sound quality passive noise cancellation low bass all the above are top notch the build quality is top too materials used are fairly high quality i guess i got a defective product will have to go to the store to see if they would replace if they do i ll let you know if they don t replace i don t think i would recommend it sennheiser provides replacement for their earphones which have loose connection tbh this is the last time i m buying any headphones or earphones with wires on it
5,i did a lot of research before deciding to buy this i was initially keen on buying a tws but none of them were giving great quality of sound vs cost paid ratio and i also learnt that within a year most budget tws stop working one stem so i decided to go with this now i consider myself a basshead i like punchy bass kinda like boat earphones when they launched after that they became too bass heavy this is not that this has the right amount of bass it s not exactly punchy but it s almost as good as it and this sounds signature is almost impossible to find i have listened to a lot of wired and tws earphones and nothing comes close to this only sony basshead surpass this but it s times the price the vocals and mids are well represented and you get an overall great music experience i have a one plus phone so i have had no issues in gaming with these there was a very slight delay in the normal mode but in fnatic mode the syncis perfect i did notice a couple of sound outages when the game starts but me taj mahal khareednahai kya overall it s a really great but for this price range go for it
3,the music quality is good neckband material is also good but the battery life is not as much claimed it lasts hardly days with my usage of to hours per day my previous blaupunkt be used to claim lesser battery life but easily lasted for to days there is no on off switch apart from magnetic separation of earbuds which is negative point for me also there is no double tap to dial last number and instead of center button double tap to forward song and triple tap to play previous song simple solution would have been keep pressing vol up key to play next and vol down key to play previous song and there is continuous crackling sound when aac mode is on with my redmi k pro the crackling sound is not there if we switch to sbc mode the previous model with same cost was way better than this
5,sound is awesome specifically the bass i was a fan of realme used that almost months but after using this i must say this is better than realme in sound needless to say i am a bass lover i am using oneplus t so maybe that is also a factor cons noise cancellation should be little bit better if you are listening music and suddenly you watch a video in youtube then after end of the youtube video you have to manually play the song in realme it automatically play the song pro bass latency is way better almost zero than other earphones under rs i almost tried all battery capacity nonstop music video around hours charging capacity charged for exactly mins jumps from to thank you amazon for oneday delivery
3,sturdy build quality sound is clear but even though this is marketed as bass version i cant feel much of bass if the bass version is so light on bass i wonder how the earlier models used to perform but other wise this is good piece moreover the bluetooth toggle button is not present in this model my oversight while buying which is not a good step as ability to toggle between devices with press of a button is really very good feature i would have paid some extra buck for that but sadly thats not present
3,connectivity issues where caller can not hear my voice while on call it does get connected but the caller on another end can not hear my voice i have to hang up and reconnect i have to connect first not between call and call up the person so that my voice is heard while video calling i ve connect and also call up the person so that my voice can be heard and not the other way round the person calling me first
1,had a great expectations from this so called bass edition earphones but got very disappointed with the quality of sound it produces great connectivitygreat mic qualitygreat ear comfortgreat built qualityvery poorest sound quality which is main purpose of any earphones had checked reviews of this on various platforms like yt other ecom websites there were so many positive reviews now i am strongly feeling it those all were seems paid reviews if i wanted this kind of worst bass then i could have went for ptron i am not de grading ptron because they are offering products at less pricing can t expect much from them but if is taking k for their so called bass edition earphones but they are not providing that much good quality bass by just adding dhoom dhoom bass they have simply hampered the sound quality many time i love to hear songs at close to full volume listening those in are so irritating i have to try keep changing equaliser settings for every single song in my f phone my sennheiser cx at far far far giving great sound quality so my honest opinion strongly not recommended for those who actually looking good quality sound output those who just looking for just dhoom dhoom sound please don t waist your k for go for ptron instead at least you ll save your min k rupees
4,got these earphones to replace my bluetooth buds have been using them for a couple of days here s my honest review so far pros sound quality has been amazing stellar infact played acid dreams by max and wow the bass is incredible the midtones and lows are well balanced and i was able to hear the sound separation pretty well these earphones are as good as my sony extra bass wired earphones actually in sound quality great for watching videos youtube movies listening to music call quality is good i talked to my friend with an air cooler on and he didn t complain of any background noise maybe sometimes if i had traffic near my home but it s not bad nowadays i take my calls on it and am fine bluetooth connection quality is good pairs quickly magnetic on off is available conserved battery too but once you put them back into your ears you have to use the buttons to play your audio again if you are watching videos music buttons are tactile they perform a variety of functions like pause play forward backward call receive reject increase decrease sound comfortable they really feel good in the ears no pressure felt inside the ears even after hours the quality of the neckband itself is good battery life is good doesn t really give hrs more like hrs depending on how you use it yes the min quick charge is as advertised cons can t pair with devices at once but i don t really mind it coz sometimes this feature can be a pain when the earphone automatically connects to a device you don t want to connect to while you re using it on your phone it s not a deal breaker for me lacks in ear detection basically doesn t continue playing once put your earphones back into your ears have to do manually had a crackling sound in the right earpiece then i reset it had to do that a couple of times now i don t have that problem anymore it s working smoothly only supports sbc and aac codec no ldac or aptx support but it didn t affect the sound quality imo can t talk about latency since i m not a gamer i love listening to music and watch a lot of videos so it s perfect for that no lipsync issues there super low latency is available for these earphones only if you pair with a one plus phone and higher edition in summary if you love listening to music and watch long format videos these are good to go for with decent call quality and very good battery life
1,in the previous model we could easily switch between two connected devices while hearing tv laptop ipad output on the bluetooth one could switch to the phone or any other connected device with just a double click on the power button this was such a super useful feature of this device in the previous version the new model does not have that option i tried all possibilities and read through the manual no not available this is ridiculous and feel so cheated how could they strip off such an important and very useful feature i am appalled and deeply disappointed can t return it only replacement is allowed how could the company be so stupid and thoughtless
1,pls avoid one plus the right side earphone stopped working exactly after two months the service centre was kind enough to arrange for a pick and drop that was the only good part it s been almost weeks i get contrasting updates from the call centre st updatethe repairs are yet to be assigned to a service engineer nd updatethis will be prioritised and someone from the service centre will call it s been one week i have not received any call rd updategot to know from the call centre executive that the service centre is closed due to pandemic if this is true basic courtesy says that i should be informed about this please avoid one plus products all hype nothing else
4,pros loght weight battery life noise cancellation ease of switching between devices need to press pause resume button for seconds it disconnectes and you will need to manually add it to alternative device quick chargecons lack to dedicated sound control button near left ear this made control easier this was included in the original oneplus bullets wireless but that is k costlier than oneplus bullets wireless z bass edition so thats okay wire width is little less
5,excellent headphones i use them a lot listening to podcasts when i m pottering music when i m running for every phone call and video conference the the warp charging is amazing combined with the automatic off when they dangle round your neck magnetic buds it means i just never run out of battery mins of charging keeps them going for a couple of days of use for me they connect to my phone automatically and very quickly when i snap them apart a button on the neck band switches the connection quickly to my laptop and back sound quality is excellent and they re pretty comfy the fit in my ear isn t quite as good as i ve had with some other in ear headphones but they stay in well enough for use on long cross country runs
2,dissatisfied with the product reasons as below if you don t pay much and close attention you will not come to know whether it started and switched off if you go out of the range it doesn t give you an indication no vibration support when receiving calls for me at least the battery got discharged with hour not sure if it was a faulty product bass effect was not great times better you get in maono ear phones huge difference all these shortcomings are much handled in moano au d trust this feedback helps this is my personal feedback i already tried and tested moano au d now i have two one bought in still going good with perfect sound quality but with little reduction in battery hours and second other one tested and using too ptron tangent overall maono rocks
1,sound quality compare with medium scale range it s some what better l noiclse cancellation is not worthybass quality was just compare with other bass provided head sets in this rangeabout the battery utilisation it just work for hrs after full charge compare with previous model it s too wasteprevious one was super in all above aspects switch option is not there but they are mentioned previous model seperate button is there for switch but it s completely waste please don t try to buy this model
