review,star_rating
"I bought these headphones (in fact 2 of them, Red as well as Black) as part of the prime day’s sale, which further reduced the price by ₹500 to ₹1499. I must say, go for it without a shadow of a doubt.SOUND: It’s been 3 days since my purchase. Been testing it extensively. Sound quality is excellent. Bass is super powerful. I previously owned Sony XB550AP which I bought for almost ₹2700. This Rockerz 550 is better in every dimension!The sound when used wireless is slightly better than when used with the included wire. The difference is really not noticeable until you turn up the volume near max. The difference in sound is actually Bass. When wired, it seems to have more volume than bass.BATTERY LIFE: Since it’s only 3 days I can’t surely say anything about battery life but I charged it fully and now I’m using it for almost 2 days now still it has almost 80%, after few hours.CONNECTIVITY: Pairing is super easy. Once paired, it automatically gets connected even after turning it off and then on. Bluetooth range is excellent.MIC: The built in microphone is good for calls. Not so good for games like PUBG.LATENCY: The latency is non existent as far as videos are concerned but you can very slightly notice it while playing games (not a deal breaker by any means).COMFORT: Super comfortable. Sits on your ears very well and covers it perfectly to give you good noise cancellation. It might start sweating around ears after few hours due to the shape of ear cups but that’s not an issue for me personally.I think I covered almost every aspects. Trust me, you’ll fall in love with your purchase and this product.UPDATED REVIEW after almost 3 months of extensive usage:Very happy. No change to what I said on the day of purchase. Still feels new! Battery backup, if anyone is wondering, is really good even after almost 3 months. Easily lasts 2 days of my usage which I think is heavier than an average user and can actually last 3 days if I’m super lucky. Trust this review blindly and you’ll never regret. 🤙",5.0
"The Build quality is very poor, Never purchase this product. It broke in a month even tho I was using my new headphone very carefully. It broke because the plastic used at that point is very weak and cheap.It look like they have used metal in the head band but that they have just pasted after the rotation point and it serves no Purpose.I am soo much trapped after purchasing this as they will not give service because it is considered as physical damage nor I can use it anymore. A complete waste of money.",1.0
BoAt gives us a good quality sound than sony headphones,5.0
lokking nice and desing is very good but during lockdown not able to getting product MRP,5.0
"These over-ear headphones sound great with thumping bass and clear vocals along with good noise cancellation and bluetooth connectivity. It also has a really good build quality with eye catching looks and texture. The mic quality is also excellent and good for video conferencing calls or recording music/karaoke. However what the makers at boat forgot to focus on, is the ergonomics! I couldn't wear these headphones even for 5 mins as the pressure of the ear cups was too much, causing pain at the ear and neck region. Hence I returned these headphones. Hope boAt concentrates more on the ergonomics next time before launching any product!",4.0
"-at this price range sound is well maintained even at high peak.-bass is not soo high or not having much thump in it, pritty low in bass.-noise isolation is just in paper.-padding is well given.- its way bulky.-build quality is decent.-other side cannot here my sound.its defective",1.0
Had a good review but nowUpdate : after 1month useThe headphones has showed big cracks on both the side .Extremely disappointed ☹️The build quality isDon't think it is covered by warrantyWorst design at the extentable part.,1.0
"Got this on the prime day exclusive sale. For Rs. 1498 u cant get a better deal than this.First i will come to the build. The entire thing is well cushioned. It is comfortable on the ears. No pressure on the ears like u just have to put it off even if u don't want to. The ears will sweat a little it's true but that is because they cover the entire year. The headband does not feel heavy at all on the head. There is no problems with the connectivity at all. It only took a few seconds to connect to my iPad air 3 and my realme 5 pro (mentioned the model so that angone having these model can buy it worryfree)Second the sound. The treble is a bit low but the base is on point. It comes both with a 3.5mm aux. So playing Pubg with this is no issue. With Bluetooth connectivity u will find latency but with the wire, footsteps and everything are clear af. There is noise cancellation but don't expect like those of bose. Obvio the price point does vary a lot. But for this range this is too good. I am satisfied with my purchase to the highest point. Just get it!!!",5.0
"I bought this headphone on prime day sale for 1500/- . For this price range these are really good. I will divide this review between pros and cons.Pros:1. Unboxing experience was good it has every basic thing aux wire and cable for charging.2 . Build quality: This is the best feature of these headphone. The pads are quite comfy . It was little on heavier side but distribution of weight is good, it does not feel heavy on use. The buttons are made of plastic but they felt tactile. Overall it looks sturdy3 . Great design , as portrayed in the picture. The patterned pads gives premium feel.4 . Sound quality : The most important part of any audio product. I am no audiophile but i have tried several budget products and some high end products ober years so this might be helpfulThe balance of sound is good , the songs appear pleasing with a accentuated lows . It will do wonders if you like heavy bass.The mids aren't that great and sometimes they felt crushed by the overpowering bass. Instrument seperation is good and one can make out different instrument playing in the background but again they are little overpowered by bass. I know this is asking too much but boat should give a manual controller to decrease the bass like skullcandy crusher. Highs are above avg and the experience was quite enjoyable when when we were listening songs. When I was watching movies I could make out the dialogues spoken by the characters and the movie watching experience was quite enjoyable too . Overall it's a great sound experience for the price .5. Battery : No complaints here ! Great battery life . I don't know the actual backup but it lasted a week after charging it fully.6. it connected to my phone pretty easily and the there was no drop in connection even if I move a little away from the phone.Cons1. The bass is little overpowering for my liking. If you can tweak using equilizer then you can find the perfect balance between all three mids highs and lows.2. It has micro-usb in 2020 which is little outdated.3. The buttons could have been a little better and while turning on the headphones there is a voice which says turned on sound is little loud even when you decrease volume.Hope you find it helpful!",4.0
Very comfy i hae 1 piece,5.0
It has stopped working within warranty period and Amazon does not show option to return or replace it within warranty period.,1.0
"This is my honest review after using it for 20 days, in this price range it is best one,the only problem i faced was the ear pain, couldn't wear it for more than 2 minutes, its too much tight, so i made it loose by putting it on my book for 48 hours, rest is good, price, sound, clarity, bass and wire length.",5.0
Received second hand headphone,1.0
"Im going to give a small comparison of this product with two of the headphones i have been using recently.This includes Samsung level u ( rs 2249/) and the ant audio w56 in ear wired earphone ( rs 599/)ProsDecent build qualityExcellent sound qualityApt for watching movies.Soft cushioningMicGood quality cableConsExternal noices creeps in a lot ( less noice cancellation effect).Jack is not gold plated, but I won't complain about it because the gold plating on most of the jacks of headphones in this price range will wear off after a months usage.On comparing the boat bass heads 900 with the ones mentioned above, I noticed that the bass levels were pretty much equal between the ant audio w56 and boat bass heads 900. Samsung level u has the least bass compared to the other 2In terms of audio quality, the boat bass heads and Samsung level u are in the same level, the clarity of sound is a bit less in the ant audio w56 compared to the boat .For outdoor use, I would prefer the ant audio w56 as it has better noice cancellation compared to the boat.ComfortI have read some reviews complaining about the boat bass heads 900 that it pains in the ears after a few minutes of usage. But I have not experienced such problems.Build qualityThe plastics used is not the best, but acceptable. Ear pads are well cushioned.SummaryOverall a really decent product from boat, excellent sound clarity and good bass makes it good for watching movies. Most suitable for indoor usage, good value for money ( bought it for 799 but will be available for 599 at certain times.)Audio quality 4/5Bass 3.8/5Value for money 4/5Comfort 4/5Build quality 3.7/5Thank you for your time.",4.0
"The Boat bass heads really live up to their name by providing amazing Bass for music lovers.Pros:1. The design is stylish, especially the white one.2. The headphone is easily foldable making it convenient to carry.3. Mic for calls.4. Excellent Bass.5. Very Cheap (Bought for around 900 during sale).6. Durable and lengthy Cable.Cons:1. You cannot wear it for more than one hour, beyond which your ears start hurting due to the tight design.2. Slight distortion at 100% sound levels.",4.0
"exactly after 30-32 days,mic problem, in-line mic not working, and when connected headphones it automatically mutes all volume by reducing audio levels automatically, tested on different mobile phones, problem not solved. Microphone either works or speakers. cannot use headphones for calling purpose. Your voice is not delivered to other end with this headphones. Now I don't have option for replacement or return. Obviously the seller will tell me to go to BoAt service center which is in mumbai city as shows google map and I live in Pune city. Very bad experience, my all money is wasted by this BoAt brand, I should have bought Audio Technica or scullcandy branded headphones in this same price segment. Utterly disappointing.",1.0
I had just got this headphones day before yesterday and by seeing them i was happy as they look cool ...But honestly i will tell u that as i wear these headphones like just for 2-4minutes while listening songs...my ears start paining and i remove them but still pain was there for a long time for that day .but yeah song quality is good but still they pain..now today i had request for return of this item,1.0
"I got this headphone for 599.the build quality of this thing is pretty good it feels solidBass is amazing and overall quality of the sound is also nice no doubt.I am very satisfied with boAt's after sales services.my Headphone got an issue with sound (unfortunately) don't worry that doesn't mean you will also have the same issue it was just a 1 in million caseso I went to service center and without asking a single question they got me replaced with another headphones.one more thing I have to mention that you may feel discomfort after wearing the headphones for quite long, because it is slightly tight, may be eventually it will get loose.",4.0
Please don't purchase this product. The one side speaker is off within 2 months. The call was disconnected after connecting this headphones.Very bad product.,1.0
Awesome Sound but jack is not gold plated!,4.0
Awesome sound quality. Bluetooth connection works very well. Light weight and comfortable ear cups. Bass is also quite impressive at this price point. The only problem is that the sound comes about 1 second delay while playing online games but it is fixed while using the auxillary cable provided in the box. You can pause or go to the next or previous sound track or even Youtube video and change the volume directly from the headphone. If you are buying your first headphone then this is best but i would not recommend it for people who play games all the time with headphones.,5.0
Very nice sound quality nd good bass ..nd bass quality nd sound not harmful to hearing ...Very nice 👍👍,4.0
"On very first time after connect with my phone one Right side speaker are not working.Very bed product,Package are broken from inside.Please don't buy cheap items, buy at least modarate items. After reviewing all comments. Don't impress by Hrithik,Go with product quality.",1.0
"No return option available, placed for replacement.1. Received the product at 12:30pm,tried to turn on but it seems the battery was drained out so put it on charging using cable and power bank.2. Once plugged in, a small red light glows indicating charging process and in 1 hour that turns to blue to show complete of charge.3. At 3:15pm paired it with my phone and started playing PUBG mobile, Bass seems to be high and conversations are audible but not excellent.4. At 3:40pm I start getting ""Battery Low"" announcement during the game and headset shuts down by 3:45pm.5. Kept it for Charge again which took from 4:00pm to 5:00pm to turn blue again.6. At 6:15pm turned on headset and paired it to Phone and started playing songs on Wynk.7. Bass is good and dominated the song while FM is not good based on poor signal reception quality.8. At 6:45pm the battery low notice starts again and shuts down in 2 minutes.Received the replacement, kept the headphones on charge for 1 hour, played songs continuosly for 1 hour battery still shows 70% available. Audio is better than last one(lesser bass). However when connected with Aux cable only one side of headset is audible seems like problem with Aux cable however I can get used to this, Still not totally satisfaction but good buy at rs700-800 price mark.",3.0
"Good headphone at this price bass is more,moderate and comfort. Bought at rs.820.Mic issue when on Bluetooth mode.",4.0
These are my honest review of the Bluetooth headphone after using it for two weeksLet me divide into two categories likes and dislikesNumber 1 likes:-1. The sound quality is average . Bass is moderate overall average in this price category.2. The play pause volume up down button are working fine.3. Battery back up is decent.4. Bluetooth range is good.Dislikes1.You can't use it's for longer period your ears starts to hurt after an hour of usages.2.Takes long to charge.3. Many times there is disturbence in the music while listening as if the Bluetooth connection is getting disconnected and connected automatically.But at this price point it's an average product .,3.0
"Too bad quality of these headphones. I never think that Zebronics music product quality is like this. I have a Zebronics bluetooth Home theater speaker, only bcz of that quality of speaker I bought the zebronics bluetooth headphone. But this is the poorest quality, also these are too light weight, and the AUX cable is so light. It is like that at any time it can be damaged.I request to all the people plz plz if you are thinking to buy this item,then plz forget this. If you are interested to waste your money then yess you can buy this.But according to me and my family, this is only and only wasting of money.",1.0
"Had always known Zebronics to provide quality speakers at fractions of cost of others, and this headset didn't disappoint either. Fits well, looks neat, and sound quality is great and seems well balanced among low-mid-high spectrum. Pleasure to use!",5.0
"I purchased Zebronics Zeb-Thunder Wireless Blue Tooth Headphone in March this year from Amazon and delivered to me just 2-3 days before complete lockdown.What it OffersObviously over the ear headphoneIt's Bluetooth and so not wiredIt has a built-in FM Radio (See Con Points)Provision for SD Card to load SongsHands-free phone conversationOperates by a battery and it can be charged via USB for which USB connector is supplied with the Gadget. Only connector no charger, please.It has a surprising and unique feature that no other Bluetooth headphone offers. It is having provision to connect to a phone or any other music source by wire and the wire is supplied with the gadget besides the charging USB connector. This helps us to continue to listen to music even when the Headphone battery needs a recharge.PROS:Excellent and superb audio quality and plenty of bass and sound which can be adjusted to your liking.Good Design aesthetically made and quite appealing to the eye.Good battery life even when not in use for days togetherBest price and easy on the pocket. Surprisingly priced very low at Rs. 772 from Amazon and it's being shown at Rs. 840- today when I checked just now (10th July 2020).CONS:FM Radio Khas Nahi hai. Its like, Is it available? Yes, available type.I could not tune it to all 10 stations that are available in Hyderabad. Normally, when we opt for FM radio, one of the stations can be listened to, and to get another station, we need lots of patience. Instead, we can as well switch on FM radio on our phone and get it via blue tooth in the headphones.The FM Stations' reception is very poor and always with the FM noise in the background.Although the Head Phone looks wonderfully giving a very expensive look, I am afraid it may not withstand rough use. No complaints on this count so far in the last 3 months.I load my favorite instrumentals to enjoy crystal clear superb quality audio during my morning walk. I am charging it once a week. When it is paired with your phone, the percentage of charge shows in the Bluetooth interface of the phone. So accordingly, we can decide when to charge.Overall, I give 4 stars out of 5(Because of FM Radio 5th star not given) and recommend for those who keep their electronic gadgets out of the reach of children and use them gently and of course who love music with good quality audio.",4.0
It's amazing with high bass clear sound quality it's totally ossum,5.0
"Okay.. I was skeptical at first to buy this as i was tight at my budget , but to be honest this little product really exceed my expectation. If you are really tight on budget just go for this one.Ps - for Redmi phone user , go to setting - sound effect and user equilizer and play around with sound enhancer to get the best sound result.",5.0
"First ever experience that im highly disappointed about Boat product, this is very ordinary product, mudic is muffling, no quality at all. Don't buy this, many alternatives in boat brand, no return about this product, please stay away from this cheap product from reputed Boat brand.",2.0
The earphone is worth what you pay for. The design of the earbud may cause pain after prolonged usage. In that case basshead 103 is good.In terms of sound this is way more advanced than basshead 103. Bass is also increased.Quality wise i would preferred the nylone wrapping of even the two small cable would have been better. Since most of the time those cable gets damaged.,5.0
The earphones looks okay. Basically in this price they solve the purpose. You can take meetings and use them as normal earphone. They fit perfectly. I thing it's the best purchase in this price. Obviously they can't be use to hear music if you are hardcore music listener you won't find that good in this case.,5.0
Good and descent product for long term phone calls/meetings as the design is little comfortable for both the ears. Please do not go for sound quality it will not satisfy your need.,4.0
"Best headset ever I used in my life, genuin product, good condition, reasonable price, value for money. And thanks to Amazon for a perfect delivery feature.",5.0
Audio quality is pathetic. Vocals are suppressed too much. Beats and Bass are too high. Not enjoyable.,2.0
 Sound is good but the bass is quite low,4.0
.sound quality is good.but sound could be more better.overall good earphone. Design of earphone is average.bass quality - good.,4.0
"Returned the next day itself, no quality sound, it even starts paining in the ears and headache issue, would recommend to go with Realme ergonomic the same model as it has great sound quality overall",1.0
"I loved to listen music with earphones. I have already used JBL c100si & c200si. I bought this one to gift someone. I used this JBL C50HI for 3-4 days & here are some points that will be helpful to decide to buy this or not.Build- Earbuds housing made with plastic looks basic. Wire length is 1.2mtr. It is very thin & twin wire. Wire is not tangle free. It is not feel strong & durable. One good thing is L shape 3.5mm jack so you can put in pocket while sitting without no worries. Overall build quality is average.Sound- Sound Quality is well balanced. Bass is good,Vocals & acoustics are clear even on 100% volume. And as I said sound output is well balanced so it is loud & clear but not so much loud so you can listen music on full volume. You will feel the true JBL Sound with this earphones. I used it with OnePlus 3T.Earphones comes with in-line remote with single multifunctional button & Mic. Mic works good during calls.Overall sound output is good you can feel the True JBL Sound Output with it but build quality is not so good. It doesn’t look premium & durable.Suggestion- If you want listen good quality music then you can go for it but you need to use it carefully.If you want use earphones roughly then go for Realme Buds/ BOAt Earphones but you need to compromise with sound quality.Check earphones videos on my YouTube channel link in my profile.",4.0
" Lots of request floating in @ What the WATT - Reviews for reviewing this entry level headphones from JBL. We got this headphones from a colleague and thought its time to post a detailed review after a week of constant usage.We tried plenty of entry level cheap headphones, time and again realizing one thing - ""The bitterness of poor quality remains long after the sweetness of low prices are forgotten""Summary of review1. Specifications – Mic and 1-button remote2. Reasons to buya. Great fit and multiple right sleeves for that perfect bass responseb. Amazing bass3. Reasons not to buya. Many options available if one can up the budget by 100 Rupees by JBL and other brandsDetailed reviewPackaging - The one startling thing you notice when receiving this product from amazon is what lies beneath that packaging of Amazon is a great package of JBL and JBL has not compromised on their values to provide great packaging and great sound. When you compare the same with Mi or boat its pretty evident that there is a significant compromise on the packaging in order to probably provide a good product, but the compromise in other product department is also clear when one starts discovering other aspects of say MI and boat (Rating 5/5)Design/Comfort – When choice is of great sound - its also for great aesthetics, you probably don’t want to carry an awful product in your ear/body and only enjoy great music, isn’t it ! JBL does not disappoint in design even at this entry level wired headphone. The wire is long (sometimes feels too long) but after a use of 2-3 days we find it quite manageable. The twin cable is back but JBL has some special engineering design for this good old twin cable – “High fidelity twin cable” (rating 3.5/5)Sound – In a nutshell the audio is crisp and loud. This time I believe JBL got the voice of customer and packed a great sound in great price. The beauty of these headphones is you don’t have to screw those in your ear. One of the sleeve will fit perfectly to an Indian ear and that matters for experiencing the bass properly, a bad fit will certainly be not delivering experience of good bass. The shape of the headphone tube/canal is rightly angled – honestly we have not seen such a good design, it’s a little way from typical JBL design but we welcome that change which reflects in sound positively. Low frequency – 5/5, Mid/High Frequency – 4.5/5 – Voice clarity – 4/5. Over all sound is a go from our side and we give these headphones 4.5/5 ratingDurability – We ran an exhaustive test on these headphones especially on the electrical joints/abused them and these held on to the connections really long. Infact lifted a 2KG load with the cables to test strength and they did not break at all – A specially designed test in our labsCall quality - Noise cancellation microphone is indeed a treat to the ears while on call and a one button remote is certainly value for money at the price. We give it 5/5 for the microphone and call quality. Remote is of great usage, smart one button remote in same microphone housing - wonderful (Single press - Mute/start music, Double click - Next song)Overall rating – If you are looking for a budget good sounding product and value the brand you get associated with – JBL C50HI is for you. We rate these 4/5 and not many entry level headphones get past 3.5 rating from our test lab and reviewers. So go for these headphones (pick any color from 3 available).Used it for almost 3 months now - Updating rating to 5/5 - Amazing durability",5.0
"The bass response of the earphones is amazing. If the sound is distinctively clear for a song like ""smoke in the water"", imagine how impressed I would have been! The design of it is great especially because it helps in noise isolation when on call and fits perfectly (I got tiny ears :D). And the ear canal fit is amazing. Also one small trick one can do is to twist the buds after you fit in the canal (you can thank me later). I think it's great for the price you pay in comparison to all the other products within this price range + I got it during the sale. It also works great on my laptop. Absolute worth the buy according to me.",5.0
Bought this one reading all the good reviews but it was so misleading . JBL is known for good sound n bass but this one is complete disappointing. The sound is ordinary n no bass at all . Didn't enjoy music experience at all . Plz don't give false reviews just becoz it's JBL . Most of buying happens reading reviews as there is no product return in electronics ones bought n only exchange with same one which doesn't really help,1.0
Product was good..JBL mark ..But worst delivery by Amazon..,1.0
"Great music.. excellent treble, good base,.. best in this price bracket😍😍",5.0
"I recently bought these earphones because I enjoy listening to music at all times and with this one, it's great to do so for its fit primarily.The buds are ideal for all ear size and the canal design makes it stay in ear all times. I did like the fact that it came with 3 sizes for the ear piece, because I can share my earphone with my brother too. And it the large size fits him perfectly well. Another issue that I used to face is with 3.5mm connector is not being compatible with my mobile phone because of the mobile case, but now it is easy and fits perfectly. Compared to the products that are available in this price range, I think this is the best one! The attention to details are credible especially to the connectors and ear buds.",5.0
"Very POOR quality. Stopped working in 3 days. Even the sound quality is not great. Very unsatisfactory. And the wires are so fragile and thin. Go for boat instead, sturdy and way better quality.",1.0
"There are three things that impressed me the most: Quality of the music, clarity and durability of the product. The cable is thin but looks pretty sturdy. It's got an ideal cable size for comfortable user experience. I give it a 5/5 for the output of highs, mids and lows! The price is genuinely remarkable and maybe safe to say that it is much better than all other cheap Chinese counterparts of similar price range in the market.",5.0
"I bought these earphones a couple of weeks back, during a sale. I picked it up without much research simply beause it's a JBL product but I was truly impressed with what I received. A simple but great package that encased the product. I've been using it ever since & may I say, I have butter fingers and have dropped my phone plenty of times but the cable didn't rip or shred at all due to the sudden drop or anything! Giving 6/5 on the make and durability it offers. Somethings that are worth the mention are its sound quality, light weight and bass. As a student, this fits perfectly in my budget but definitely offers a music experience that is beyond any other product of this range.",5.0
Nice product...👍👍..,5.0
"It says 8 hrs but since I use this to watch lectures it gives more than 15hrs+ battery life.Sound quality is good, Highs & Lows are perfectly managed but to term these as Bass Heavy would be widely mistake.Overall 4 stars",4.0
the base is really good. it a value for this range of money.i really liked it.only the comfort has to be more good.,4.0
"This product was had manufacturing defect inside the plastic band material,from which it is now broken out, that could not be visible during product receiving time period. Please do something for this automatic damaging, I wanted number of time to connect with customer care service but no any my call receiving by customer service. Please do the satisfactory advice to repair or exchange purpose because this product is under guarantee period. I was received this order on 14 May 2020.",1.0
"Edit: After 1 year of usage.The headphone starts developing cracks in the overhead plastic band, the padding on the earcups and head band started coming off. The boat logo has completely vanished (all this happened even after taking utmost care). The sound is still fine.Please be aware of the cheap plastic and poor built quality of the headphone. Instead of this you can buy Blaupunkt BH01 Eqz headphones which are the best at this price.PS. The gold plating on the AUX cable will come off creating much disturbance while connecting and listening to music rendering it useless.EDIT: The sound cut-offs are annoying during watching films or playing. You can't hear some dialogues at low volume.Honest review after 46 days of usage...PROS:• Good sound quality, vocals are crystal clear. Nice to see AUX cable bundled in the box itself.• You can get rich bass in Bluetooth and above average bass using the wired connection.• The ear cups are padded with good quality foam and faux leather, no pain on continuous use (Used it for 2-2.5 hours and was still very comfortable).• Value for money, Got it for 1099/- only.• Not Bass heavy but you can tweak settings to get good bass.• Good fit and design.• Good Battery backup, got 7 hrs+ on single charge. Full charge takes about 2-3 hours, the orange LED goes off when fully charged.• Build quality is good considering the price of the product.• Call quality is average (the speaker is not so loud). The headphone also tells the Caller’s Number during an incoming call.• The Latency is also acceptable at this price point.CONS:• On Bluetooth, when the volume is kept very low and the music has a very low pitch, sometimes the left-right speakers turn ON and OFF automatically. (It can be eliminated by keeping volume bar at about 50%, also no problem when connected using Aux cable). I saw this problem in boAt Rockerz 450 as well.• When kept at 100% volume the sound tends to get distorted. (Its THD-Total Harmonic Distortion is ≤5%, whereas most good headphones have it at ≤1%)• The aux cable seems to be too thin so be careful while handling it.• The earcups are not sweat resistant so take care of it.",2.0
Sound is very crystal clearBass is very pretty and goodValue for money,5.0
Bass is disgusting... Range is good but when I tried PUBG it keeps disconnecting continuously...Useless headphone...I returned it on the same day I received.,1.0
"Marvelous performanceIf you watch movies or series in Netflix,amazon or Hotstar this head set is perfect option Crysta clear sound may be not deep bass but you feel like theatre effect with perfect clear sound just go for it .....",4.0
"Headphones are great but recieved the already used by someone headphones. Seal was broken and was reattached. Scratches were visible along side the earcups. Also when i watch something on Netflix, either the right side or the left one randomly keeps disconnecting and reconnectingReturned the product.",4.0
Nice,4.0
"Height adjustment is good but not suitable for a small head. Cable quality is good. Very thick cable. RGB LED of RG logo changes loops wise, It looks good. Mic quality is good. The bass is super cool but the audio pitch is little low. Awesome for gaming. Worth buying at this price range. Comfortable for long uses. Earcups cushion is good. Covers full ear which makes it more comfortable.",4.0
Great headphone for the price (799Rs is what I paid)plz don't spend more than that.the ear cups are large (and yes the circumference of my ears is huge hahaha) and comfortable. Earlier i had bought the cosmicbyte one (Rs1200) and they had small earcups so wearing it for one cs go compi match was a painful experience. ..if you don't have a headphone or if you are in search of a good not so expensive headgear I would suggest go for it. The in built mic is also very clear.( I personally use a mb800 condenser mic)..,5.0
